model,fold,train_pr_auc,val_pr_auc,gap
Logistic Regression,1,0.6802216068827099,0.6780803937227339,0.002141213159976063
Logistic Regression,2,0.687906401433677,0.705249250085025,-0.017342848651348053
Logistic Regression,3,0.6911297731161282,0.6772772734279485,0.013852499688179698
Logistic Regression,4,0.6854934422558475,0.683965969840309,0.0015274724155385222
Random Forest,1,0.97405290109948,0.8668138137683724,0.10723908733110754
Random Forest,2,0.9743580835304234,0.8503146188654082,0.12404346466501526
Random Forest,3,0.9756069292056586,0.8350253935838482,0.14058153562181042
Random Forest,4,0.9740806512205875,0.8576203323459205,0.11646031887466701
XGBoost,1,0.8768377569617712,0.879154885086818,-0.002317128125046808
XGBoost,2,0.8843280550484838,0.8630948373744375,0.02123321767404629
XGBoost,3,0.8878575544181991,0.8539992553013034,0.03385829911689575
XGBoost,4,0.8814318184308073,0.8775107204417905,0.003921097989016853
