mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__gamma,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__reg_alpha,param_classifier__reg_lambda,param_classifier__scale_pos_weight,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
3.6218820214271545,0.17201991088412577,0.15725165605545044,0.02092012334227248,0.9,0.7,0.08,4,7,90,0.0,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8676781414304563,0.8643898752910895,0.8651370306745604,0.8684308658192816,0.866408978303847,0.001687707906806563,225
3.9663232564926147,0.06228589894062505,0.151431143283844,0.02016061523923891,0.9,0.7,0.08,4,7,90,0.0,1.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8676609649809609,0.8644829544628959,0.8648803908564555,0.8692751795514176,0.8665748724629325,0.0019823372671802265,157
4.060340523719788,0.09074070886072011,0.1642095446586609,0.0016093407592659475,0.9,0.7,0.08,4,7,90,0.0,1.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8671226577059624,0.8638362942500488,0.8631024887464057,0.8679265941234412,0.8654970087064645,0.002063814327454287,499
2.061380922794342,0.2775209634408085,0.1741822361946106,0.008895128739866632,0.9,0.7,0.08,4,7,90,0.0,2.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8670401521310513,0.8646309701773873,0.8651431903151228,0.868441824446347,0.8663140342674771,0.0015213742545155688,254
2.2626277804374695,0.22337273765754137,0.16735732555389404,0.0029333369500694467,0.9,0.7,0.08,4,7,90,0.0,2.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8673330471590233,0.8636041654901906,0.8644787735498479,0.8678871246262391,0.8658257777063252,0.001821468731801394,425
2.5970271825790405,0.2353936967898571,0.17937439680099487,0.00748127366719227,0.9,0.7,0.08,4,7,90,0.0,2.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.0, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.866357542719074,0.8639242934563189,0.8636716496478668,0.8681313977125792,0.8655212208839598,0.00183599756638486,497
2.3851261138916016,0.18681590918915042,0.17515552043914795,0.005848066690177568,0.9,0.7,0.08,4,7,90,0.1,1.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8670744954196539,0.8644696808870255,0.8646375545436407,0.8694296475952447,0.8664028446113913,0.002028917329501523,228
2.338204264640808,0.0739731956494583,0.16995364427566528,0.005215794647957718,0.9,0.7,0.08,4,7,90,0.1,1.0,10,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 10, 'classifier__subsample': 0.9}",0.8668425595713831,0.8634724294540892,0.8651061794807164,0.8690439726929932,0.8661162852997955,0.0020681583165023543,324
2.358470380306244,0.058481077685184235,0.17656081914901733,0.0025562422037812027,0.9,0.7,0.08,4,7,90,0.1,1.0,12,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 1.0, 'classifier__scale_pos_weight': 12, 'classifier__subsample': 0.9}",0.8674838825806925,0.8643999659902603,0.8634514393818346,0.867840179777276,0.8657938669325158,0.0019022010814267443,432
2.342542290687561,0.030279271220157094,0.1701589822769165,0.0031661488089410428,0.9,0.7,0.08,4,7,90,0.1,2.0,8,0.9,"{'classifier__colsample_bytree': 0.9, 'classifier__gamma': 0.7, 'classifier__learning_rate': 0.08, 'classifier__max_depth': 4, 'classifier__min_child_weight': 7, 'classifier__n_estimators': 90, 'classifier__reg_alpha': 0.1, 'classifier__reg_lambda': 2.0, 'classifier__scale_pos_weight': 8, 'classifier__subsample': 0.9}",0.8673441677445224,0.8644725953730633,0.8646734233441169,0.8685936504127705,0.8662709592186183,0.0017559117513975169,275
